DeFi Application,Address,Chain
Bright Union,0xbeab712832112bd7664226db7cd025b153d3af55,ETH
KEEP Network,0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa,ETH
Polly Finance,0x4C392822D4bE8494B798cEA17B43d48B2308109C,Polygon
CougarSwap,0x26d88b1e61e22da3f1a1ba95a1ba278f6fcef00b,BSC
CobraSwap,0x2c449ba613873e7b980faf2b686207d7bd205541,BSC
CapitalDEX,0xf56b164efd3cfc02ba739b719b6526a6fa1ca32a,ETH
FinNexus,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,ETH
unFederalReserve,0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6,ETH
Cranium Exchange,0xfa5992A8A47aF7029e04eC6a95203AD3f301460b,Fantom
Atlantis Loans,0x1fd991fb6c3102873ba68a4e6e6a87b3a5c10271,BSC
DerivaDEX,0x3a880652f47bfaa771908c07dd8673a787daed3a,ETH
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,BSC
ProtoFi,0xa23c4e69e5Eaf4500F2f9301717f12B578b948FB,Fantom
Cryptex Finance,0x321C2fE4446C7c963dc41Dd58879AF648838f98D,ETH
Tidal Finance,0xB41EC2c036f8a42DA384DDE6ADA79884F8b84b26,Polygon
Solidly,0x888ef71766ca594ded1f0fa3ae64ed2941740a20,Fantom
Rikkei Finance,0xe17fbdf671f3cce0f354cacbd27e03f4245a3ffe,BSC
The Parallel,0xd07e82440a395f3f3551b42da9210cd1ef4f8b24,BSC
Nomiswap,0xd32d01a43c869edcd1117c640fbdcfcfd97d9d65,BSC
Uwerx,0x4306B12F8e824cE1fa9604BbD88f2AD4f0FE3c54,ETH
Ellipsis Finance,0xA7f552078dcC247C2684336020c03648500C6d9F,BSC
Ape Finance,0x4332f8A38f14BD3D8D1553aF27D7c7Ac6C27278D,ETH
0x,0xe41d2489571d322189246dafa5ebde1f4699f498,ETH
Klondike Finance,0xbf15797bb5e47f6fb094a4abdb2cfc43f77179ef,ETH
Poopsicle,0x070eb1a48725622de867a7e3d1dd4f0108966ed1,Fantom
Homora V2,0xa1faa113cbe53436df28ff0aee54275c13b40975,ETH
Nexus Mutual,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,ETH
Bumper Finance,0x785c34312dfa6b74f6f1829f79ade39042222168,ETH
MagnateFi,0x2DC1cDa9186a4993bD36dE60D08787c0C382BEAD,BASE
DefiDollar DAO,0x20c36f062a31865bed8a5b1e512d9a1a20aa333a,ETH
1inch Network,0x111111111117dc0aa78b770fa6a738034120c302,ETH
Hundred Finance,0x10010078a54396f62c96df8532dc2b4847d47ed3,ETH
Convergence,0xc834fa996fa3bec7aad3693af486ae53d8aa8b50,ETH
Alita Finance,0x557233E794d1a5FbCc6D26dca49147379ea5073c,BSC
BlackPool,0x0eC9F76202a7061eB9b3a7D6B59D36215A7e37da,ETH
Big Data Protocol,0xf3dcbc6d72a4e1892f7917b7c43b74131df8480e,ETH
Tranchess,0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6,BSC
Fegex,0x389999216860ab8e0175387a0c90e5c52522c945,ETH
Sphere Finance,0x62f594339830b90ae4c084ae7d223ffafd9658a7,Polygon
Universe Finance,0xe4b5936dce1820f84509c89cce0f28c87988bad8,ETH
LemonSwap,0x9477477CdDC4A05419A402A9754725Bc9Ee6a40e,BSC
SafeOHM,0xBDaa094a95e452c6bA175cE9EdfeFBa04e6a51Ac,BSC
Axia Protocol,0x793786e2dd4cc492ed366a94b88a3ff9ba5e7546,ETH
Jarvis Network,0x8a9c67fee641579deba04928c4bc45f66e26343a,ETH
DeHive,0x62dc4817588d53a056cbbd18231d91ffccd34b2a,ETH
Spartan,0x3910db0600ea925f63c36ddb1351ab6e2c6eb102,BSC
TEN Finance,0xd15c444f1199ae72795eba15e8c1db44e47abf62,BSC
Animal Farm V2,0x9a3321E1aCD3B9F6debEE5e042dD2411A1742002,BSC
dHEDGE,0xca1207647ff814039530d7d35df0e1dd2e91fa84,ETH
Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,ETH
The Open DAO SOS,0x3b484b82567a09e2588A13D54D032153f0c0aEe0,ETH
Autofarm,0xa184088a740c695e156f91f5cc086a06bb78b827,BSC
Umbria Network,0xa4bbe66f151b22b167127c770016b15ff97dd35c,ETH
Nacho Finance,0xcD86152047e800d67BDf00A4c635A8B6C0e5C4c2,Polygon
SakePerp,0x066798d9ef0833ccc719076dab77199ecbd178b0,ETH
Swarm Markets,0xb17548c7b510427baac4e267bea62e800b247173,ETH
Golff Protocol,0x488e0369f9bc5c40c002ea7c1fe4fd01a198801c,ETH
88mph,0x8888801af4d980682e47f1a9036e589479e835c5,ETH
MarginSwap,0xaa4e3edb11afa93c41db59842b29de64b72e355b,ETH
Wombat Exchange,0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,BSC
Aquarius,0x0f7ADb77B6334B9B5A3c4f78aAa073eA1D915bF6,Fantom
Drops,0x6bB61215298F296C55b19Ad842D3Df69021DA2ef,ETH
JPEG'd,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,ETH
Bancor V3,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,ETH
Channels Finance,0xdE9a73272BC2F28189CE3c243e36FaFDA2485212,BSC
cVault Finance,0x62359ed7505efc61ff1d56fef82158ccaffa23d7,ETH
Augmented Finance,0xb3ed706b564bba9cab64042f4e1b391be7bebce5,ETH
Hodltree,0xDea67845A51E24461D5fED8084E69B426AF3D5Db,ETH
MetalSwap,0x3E5D9D8a63CC8a88748f229999CF59487e90721e,ETH
Derify Protocol,0x89C1Af791d7B4cf046Dca8Fa10a41Dd2298A6a3F,BSC
Energiswap,0x1416946162b1c2c871a73b07e932d2fb6c932069,ETH
BoringDAO,0xbc19712feb3a26080ebf6f2f7849b417fdd792ca,ETH
Ambire Wallet,0x88800092ff476844f74dc2fc427974bbee2794ae,ETH
mStable CDP,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,ETH
Unslashed,0xe0e05c43c097b0982db6c9d626c4eb9e95c3b9ce,ETH
APY Finance,0x95a4492F028aa1fd432Ea71146b433E7B4446611,ETH
Illuvium,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ETH
Bear Finance,0x3b1a7770A8c97dCB21c18a2E18D60eF1B01d6DeC,Fantom
IDEX,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,ETH
TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,ETH
BT.Finance,0x76c5449f4950f6338a393f53cda8b53b0cd3ca3a,ETH
Infinity Pad,0xf07dfc2ad28ab5b09e8602418d2873fcb95e1744,BSC
Waka Finance,0xf61ccde1d4bb76ced1daa9d4c429cca83022b08b,Fantom
Ouchi Finance,0xDe52a16C6DB7914e6953E27A7df4Ce6A315f8b45,ETH
Axelar,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,ETH
SmartPad,0x5067006F830224960Fb419D7f25a3a53e9919BB0,ETH
Fei Protocol,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,ETH
SMBSwap,0x7a364484303B38Bce7B0ab60a20DA8F2F4370129,BSC
AnchorSwap,0x4aac18De824eC1b553dbf342829834E4FF3F7a9F,BSC
Baker Guild,0xfe27133f2e8c8539363883d914bccb4b21ebd28a,Fantom
